,Date,Description,Version,Optimizer,Device,#Epochs,Learning_rate,Batch_size,t_train,t_test,t_train_epoch,t_data,Train_loss,Train_accuracy,Val_loss,Val_acc,Test_acc,Test_f1,Test_precision,Test_recall,np_acc,c_acc,e1_acc,e2_acc,f_acc,g_acc,pd_acc
0,2024-04-05 14:07:34,soybean_aphid,baseline,Adam,cuda,100,0.0001,256,225.6400469999935,0.3337251999910222,2.090096117001085,64.30183269998815,0.3329314072895501,0.8890424993519559,0.3011229832967122,0.8943568095978671,0.88,0.76,0.75,0.76,0.96,0.77,0.0,0.85,0.92,0.96,0.82
0,2024-04-05 14:13:19,BCOA2,baseline,Adam,cuda,100,0.0001,256,523.5815726000001,1.6655300999991596,4.860254059998988,110.9985891999968,0.4355859303681547,0.8504807002439374,0.3988316470179064,0.8615510093114932,0.84,0.71,0.72,0.71,0.88,0.75,0.79,0.86,0.0,0.95,0.78
0,2024-04-05 14:17:34,cannabis_aphid,baseline,Adam,cuda,100,0.0001,256,755.8380065999954,1.290369099995587,7.021669628000382,133.84312410000712,0.3238832559112877,0.8896791001469299,0.2984304018843342,0.8975997333037005,0.88,0.88,0.89,0.87,0.95,0.84,0.91,0.92,0.87,0.9,0.84
0,2024-04-05 14:17:55,green_peach_aphid,baseline,Adam,cuda,100,0.0001,256,779.7451356999954,1.3782172999926845,7.241223419999296,130.82800189999398,0.3724209427188684,0.8677966101694915,0.3469943391780059,0.8760128337593126,0.86,0.77,0.82,0.75,0.74,0.88,0.68,0.83,0.85,0.94,0.86
0,2024-04-05 14:32:53,BCOA1,baseline,Adam,cuda,100,0.0001,256,1556.8855382000038,3.535661900008563,14.418589357999736,250.08499160000065,0.2210987530716441,0.919536389711292,0.20196771561130275,0.9249568165824323,0.91,0.87,0.88,0.86,0.98,0.73,0.88,0.97,0.95,0.9,0.75
