,Date,Description,Version,Optimizer,Device,#Epochs,Learning_rate,Batch_size,t_train,t_test,t_train_epoch,t_data,Train_loss,Train_accuracy,Val_loss,Val_acc,Test_acc,Test_f1,Test_precision,Test_recall,np_acc,c_acc,e1_acc,e2_acc,f_acc,g_acc,pd_acc
0,2024-04-05 19:23:57,BCOA2,baseline,Adam,cuda,100,0.0001,256,15644.455566699997,15.478319100002407,150.34562598199963,76.52328360000683,0.0247880020039515,0.9911261148998196,0.2005357645965855,0.9514035206959832,0.93,0.91,0.91,0.91,0.91,0.86,0.94,0.94,0.82,0.99,0.94
0,2024-04-05 19:52:37,cannabis_aphid,baseline,Adam,cuda,100,0.0001,256,17346.702802600004,14.316706699988572,166.66642028699906,93.7201461999939,0.0122943603179688,0.9960304231334346,0.2075984044603898,0.96199577730859,0.95,0.94,0.95,0.94,0.96,0.93,0.96,0.98,0.91,0.98,0.92
0,2024-04-05 23:07:45,soybean_aphid,baseline,Adam,cuda,100,0.0001,256,8611.75984839999,9.790518800000427,82.67815744499981,35.41107310001098,0.0193821267461351,0.9933590905163368,0.263248164827625,0.9456787380582092,0.92,0.83,0.89,0.82,0.97,0.88,0.69,0.9,0.97,0.97,0.85
0,2024-04-05 23:14:28,BCOA1,baseline,Adam,cuda,100,0.0001,256,29351.424503000017,24.40390819999448,282.2185002939994,197.31690189999065,0.004944674919448,0.9984930177674628,0.1145203564092668,0.9801036402021625,0.96,0.95,0.95,0.94,0.97,0.87,0.96,0.99,0.97,1.0,0.91
0,2024-04-05 23:30:49,green_peach_aphid,baseline,Adam,cuda,100,0.0001,256,13001.500126499988,23.816505099995993,124.71534169400053,78.43653940000513,0.027941713032242157,0.9888999667663676,0.28835599610788953,0.9433900701506336,0.91,0.82,0.86,0.81,0.67,0.91,0.76,0.91,0.91,0.96,0.92
